-12.25	-0.8284	0.04176	0.03861	-0.0832	1.0	0.0246
-12.0	-0.8522	0.03908	0.03574	-0.0799	1.0	0.0247
-11.75	-0.8699	0.0354	0.03185	-0.0776	0.9997	0.0251
-11.5	-0.8415	0.03435	0.03082	-0.0796	0.9977	0.0258
-11.25	-0.8114	0.03347	0.02989	-0.0818	0.9957	0.0265
-11.0	-0.7822	0.03202	0.0283	-0.0843	0.9939	0.0275
-10.75	-0.7591	0.02982	0.02579	-0.0862	0.9905	0.0285
-10.5	-0.7309	0.02822	0.02384	-0.0882	0.9877	0.0293
-10.25	-0.7053	0.02556	0.021	-0.0903	0.9856	0.0304
-10.0	-0.6714	0.02497	0.02039	-0.0924	0.9843	0.0314
-9.75	-0.6435	0.0242	0.01952	-0.0932	0.9807	0.0325
-9.5	-0.6134	0.02311	0.01823	-0.0945	0.9778	0.0336
-9.25	-0.5802	0.02227	0.01716	-0.0962	0.9758	0.0345
-9.0	-0.5492	0.02031	0.01504	-0.0982	0.9742	0.0359
-8.75	-0.5132	0.01962	0.01432	-0.1004	0.9731	0.0371
-8.5	-0.4849	0.01894	0.01355	-0.1008	0.9683	0.0381
-8.25	-0.4502	0.01823	0.01273	-0.1025	0.9656	0.0394
-8.0	-0.4135	0.01756	0.01192	-0.1045	0.9637	0.0405
-7.75	-0.3794	0.01639	0.01059	-0.1062	0.9619	0.0416
-7.5	-0.3455	0.01547	0.00965	-0.1078	0.9602	0.043
-7.25	-0.3201	0.01501	0.00917	-0.1073	0.9539	0.0442
-7.0	-0.2893	0.01445	0.00854	-0.108	0.9502	0.0454
-6.75	-0.2573	0.01389	0.00791	-0.1088	0.9471	0.0467
-6.5	-0.2303	0.01351	0.00746	-0.1085	0.9415	0.0478
-6.25	-0.2035	0.01278	0.00668	-0.1083	0.9357	0.0494
-6.0	-0.1743	0.01225	0.00613	-0.1085	0.9314	0.0512
-5.75	-0.1485	0.0119	0.00577	-0.108	0.9242	0.0529
-5.5	-0.1206	0.01155	0.00536	-0.1078	0.918	0.055
-5.25	-0.0931	0.01118	0.00493	-0.1076	0.9117	0.0575
-5.0	-0.0666	0.01079	0.00457	-0.1072	0.9038	0.0614
-4.75	-0.0382	0.01055	0.00427	-0.1071	0.8974	0.0656
-4.5	-0.0118	0.01018	0.00393	-0.1067	0.8884	0.0727
-4.25	0.0161	0.0099	0.00363	-0.1066	0.881	0.0812
-4.0	0.0434	0.00973	0.00343	-0.1063	0.8716	0.0897
-3.75	0.071	0.00948	0.00321	-0.1061	0.8628	0.1006
-3.5	0.0987	0.00929	0.00301	-0.106	0.8534	0.111
-3.25	0.1262	0.00913	0.00285	-0.1058	0.8432	0.1221
-3.0	0.1541	0.00898	0.00269	-0.1056	0.8335	0.1353
-2.75	0.1815	0.00882	0.00255	-0.1054	0.8224	0.152
-2.5	0.209	0.00867	0.00244	-0.1053	0.8113	0.1733
-2.25	0.2366	0.00855	0.00235	-0.1051	0.8004	0.1993
-2.0	0.2641	0.00844	0.00229	-0.1049	0.7887	0.23
-1.75	0.2915	0.00833	0.00224	-0.1048	0.7765	0.2579
-1.5	0.319	0.00826	0.00218	-0.1046	0.7645	0.2832
-1.25	0.3463	0.00818	0.00213	-0.1044	0.7525	0.3117
-1.0	0.3734	0.00807	0.00209	-0.1042	0.7397	0.3503
-0.75	0.4003	0.00792	0.00208	-0.104	0.7267	0.4055
-0.5	0.4265	0.00766	0.00208	-0.1038	0.7141	0.5024
-0.25	0.4513	0.00733	0.00214	-0.1031	0.7014	0.6445
0.0	0.4741	0.00703	0.0022	-0.1018	0.6886	0.7752
0.25	0.4944	0.00681	0.00229	-0.0995	0.6757	0.9086
0.5	0.5429	0.00683	0.00228	-0.1037	0.6616	0.9948
0.75	0.5727	0.00693	0.00228	-0.1041	0.6484	1.0
1.0	0.5983	0.00705	0.00231	-0.1035	0.6356	1.0
1.25	0.6239	0.00719	0.00235	-0.103	0.623	1.0
1.5	0.6499	0.00731	0.0024	-0.1026	0.6104	1.0
1.75	0.6761	0.00744	0.00246	-0.1022	0.5984	1.0
2.0	0.7023	0.00759	0.00253	-0.1018	0.5871	1.0
2.25	0.7283	0.00775	0.0026	-0.1014	0.5758	1.0
2.5	0.7548	0.00788	0.00269	-0.1011	0.5646	1.0
2.75	0.7811	0.00804	0.00279	-0.1007	0.5544	1.0
3.0	0.8073	0.0082	0.0029	-0.1004	0.5444	1.0
3.25	0.8339	0.00834	0.00302	-0.1001	0.5349	1.0
3.5	0.86	0.00854	0.00314	-0.0998	0.526	1.0
3.75	0.8867	0.00866	0.00327	-0.0995	0.5166	1.0
4.0	0.9127	0.00884	0.00341	-0.0992	0.5067	1.0
4.25	0.9385	0.00902	0.00355	-0.0988	0.4957	1.0
4.5	0.9647	0.00917	0.0037	-0.0984	0.4849	1.0
4.75	0.9903	0.00937	0.00385	-0.098	0.4741	1.0
5.0	1.0155	0.00957	0.004	-0.0975	0.4618	1.0
5.25	1.0403	0.00977	0.00416	-0.097	0.446	1.0
5.5	1.0652	0.00997	0.00433	-0.0964	0.4309	1.0
5.75	1.0906	0.01016	0.00452	-0.096	0.4187	1.0
6.0	1.1155	0.01038	0.00472	-0.0955	0.4067	1.0
6.25	1.1399	0.01063	0.00495	-0.0949	0.3935	1.0
6.5	1.1639	0.0109	0.00518	-0.0942	0.3784	1.0
6.75	1.1875	0.01119	0.00543	-0.0935	0.3609	1.0
7.0	1.2103	0.01152	0.00571	-0.0927	0.341	1.0
